name,description,imageUrl,category,price,quantityAvailable,supplierEmail
Formal Shoes 1,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,31,83,supplier2@example.com
Casual Backpack 2,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,188,30,supplier2@example.com
Running Sneakers 3,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,243,35,supplier1@example.com
Digital Alarm Clock 4,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,182,134,supplier1@example.com
Stainless Steel Watch 5,Easy to clean,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,228,92,supplier1@example.com
Running Sneakers 6,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,168,88,supplier2@example.com
Wireless Mouse 7,Perfect for everyday use,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,258,187,supplier1@example.com
Portable Speaker 8,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,267,79,supplier2@example.com
Casual Backpack 9,Modern and elegant look,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,69,35,supplier1@example.com
Graphic Tee 10,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,178,21,supplier1@example.com
Adidas Campus 11,Lightweight and powerful,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,59,67,supplier1@example.com
USB-C Charger 12,Ergonomic design,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,175,28,supplier1@example.com
Cotton T-Shirt 13,Ergonomic design,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,61,55,supplier2@example.com
Graphic Tee 14,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,105,184,supplier1@example.com
Ceramic Mug 15,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,205,169,supplier1@example.com
Bluetooth Headphones 16,Top-rated by users,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,109,16,supplier2@example.com
Graphic Tee 17,Ergonomic design,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,27,150,supplier1@example.com
USB-C Charger 18,Easy to clean,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,203,58,supplier1@example.com
Ceramic Mug 19,Lightweight and powerful,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,137,62,supplier1@example.com
Smart LED TV 20,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,249,53,supplier1@example.com
Adidas Campus 21,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,100,60,supplier1@example.com
Denim Jacket 22,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,161,38,supplier1@example.com
Fitness Tracker 23,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,278,28,supplier2@example.com
Graphic Tee 24,Lightweight and powerful,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,176,148,supplier2@example.com
Graphic Tee 25,Modern and elegant look,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,59,186,supplier1@example.com
Smart LED TV 26,Modern and elegant look,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,190,137,supplier1@example.com
Denim Jacket 27,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,197,158,supplier1@example.com
Cotton T-Shirt 28,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,278,193,supplier1@example.com
Casual Backpack 29,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,169,20,supplier2@example.com
Portable Speaker 30,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,220,35,supplier1@example.com
Non-stick Frying Pan 31,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,106,81,supplier2@example.com
Formal Shoes 32,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,196,147,supplier1@example.com
Portable Speaker 33,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,194,116,supplier1@example.com
Wireless Mouse 34,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,98,66,supplier2@example.com
Ceramic Mug 35,Modern and elegant look,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,173,24,supplier2@example.com
Smart LED TV 36,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,156,45,supplier1@example.com
Non-stick Frying Pan 37,Easy to clean,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Kitchen,230,77,supplier2@example.com
Casual Backpack 38,Ergonomic design,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,253,164,supplier2@example.com
Bluetooth Headphones 39,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,23,34,supplier1@example.com
Water Bottle 40,Perfect for everyday use,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,87,133,supplier2@example.com
Wireless Mouse 41,High quality and reliable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,300,71,supplier2@example.com
Non-stick Frying Pan 42,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,243,84,supplier2@example.com
Graphic Tee 43,Compact and portable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,167,182,supplier1@example.com
Running Sneakers 44,Top-rated by users,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Shoes,82,127,supplier1@example.com
Portable Speaker 45,Modern and elegant look,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,86,42,supplier2@example.com
Slim Fit Jeans 46,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,12,106,supplier2@example.com
Digital Alarm Clock 47,Stylish and durable,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Clothing,194,100,supplier1@example.com
Denim Jacket 48,Top-rated by users,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Electronics,211,81,supplier1@example.com
USB-C Charger 49,Eco-friendly materials,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,285,166,supplier1@example.com
Formal Shoes 50,Easy to clean,https://www.algeria.ubuy.com/en/product/8W61BVD3K-adidas-campus-00-039-s-originals-shoes-039-black-039-hq8708-expeditedship,Accessories,174,186,supplier2@example.com
